NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	156	-0.6211379	-2.3731353	0.0	0.0	0.0	3197	tags=54%, list=23%, signal=69%	
HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE%MSIGDB_C2%HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	79	-0.66709065	-2.3384652	0.0	0.0	0.0	3197	tags=59%, list=23%, signal=77%	
INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	INTERFERON SIGNALING%REACTOME%R-HSA-913531.2	Details ...	166	-0.5694267	-2.190156	0.0	3.7930187E-4	0.001	3218	tags=45%, list=23%, signal=58%	
PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	PID_FANCONI_PATHWAY%MSIGDB_C2%PID_FANCONI_PATHWAY	Details ...	35	-0.7156266	-2.1450634	0.0	0.0014092388	0.005	2166	tags=46%, list=16%, signal=54%	
MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.5	MITOTIC PROMETAPHASE%REACTOME%R-HSA-68877.5	Details ...	165	-0.5537241	-2.1374707	0.0	0.0011273909	0.005	2502	tags=44%, list=18%, signal=53%	
RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.1	RESOLUTION OF SISTER CHROMATID COHESION%REACTOME%R-HSA-2500257.1	Details ...	89	-0.6040233	-2.133452	0.0	0.001129775	0.006	2568	tags=44%, list=19%, signal=54%	
SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 75%2467813	SEPARATION OF SISTER CHROMATIDS%REACTOME DATABASE ID RELEASE 75%2467813	Details ...	151	-0.5579271	-2.130931	0.0	9.6837844E-4	0.006	2568	tags=41%, list=19%, signal=50%	
HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION%MSIGDB_C2%HALLMARK_ALLOGRAFT_REJECTION	Details ...	116	-0.5780183	-2.1077113	0.0	0.0011278773	0.008	3213	tags=50%, list=23%, signal=65%	
NCRNA EXPORT FROM NUCLEUS%GOBP%GO:0097064	NCRNA EXPORT FROM NUCLEUS%GOBP%GO:0097064	Details ...	38	-0.67622817	-2.066002	0.0	0.0023877765	0.019	1517	tags=39%, list=11%, signal=44%	
MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	MITOTIC SPINDLE ORGANIZATION%GOBP%GO:0007052	Details ...	133	-0.54793644	-2.0654469	0.0	0.002261176	0.02	2602	tags=44%, list=19%, signal=53%	
