NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	CYTOPLASMIC RIBOSOMAL PROTEINS%WIKIPATHWAYS_20210210%WP477%HOMO SAPIENS	Details ...	81	0.5724023	2.0950522	0.0	0.022572221	0.027	3329	tags=53%, list=24%, signal=70%	
PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	PEPTIDE CHAIN ELONGATION%REACTOME%R-HSA-156902.2	Details ...	86	0.55668074	2.0764914	0.0	0.012101224	0.029	3338	tags=50%, list=24%, signal=66%	
EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	EUKARYOTIC TRANSLATION ELONGATION%REACTOME%R-HSA-156842.2	Details ...	90	0.5510409	2.0276663	0.0	0.030600574	0.106	3338	tags=49%, list=24%, signal=64%	
SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	SELENOCYSTEINE SYNTHESIS%REACTOME DATABASE ID RELEASE 75%2408557	Details ...	90	0.54380876	2.0127523	0.0	0.029808039	0.13	3338	tags=48%, list=24%, signal=63%	
CANONICAL WNT SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL WNT SIGNALING PATHWAY	CANONICAL WNT SIGNALING PATHWAY%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%CANONICAL WNT SIGNALING PATHWAY	Details ...	16	0.79478574	2.0063179	0.0	0.027523044	0.146	703	tags=38%, list=5%, signal=39%	
NEGATIVE REGULATION OF LIPID TRANSPORT%GOBP%GO:0032369	NEGATIVE REGULATION OF LIPID TRANSPORT%GOBP%GO:0032369	Details ...	15	0.7778658	1.9993908	0.0	0.025007376	0.159	1049	tags=40%, list=8%, signal=43%	
EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	EUKARYOTIC TRANSLATION TERMINATION%REACTOME%R-HSA-72764.4	Details ...	90	0.54434144	1.995256	0.0	0.023328763	0.173	3338	tags=49%, list=24%, signal=64%	
REGULATION OF LIPID CATABOLIC PROCESS%GOBP%GO:0050994	REGULATION OF LIPID CATABOLIC PROCESS%GOBP%GO:0050994	Details ...	25	0.6709108	1.9154258	0.0	0.071582586	0.494	1321	tags=32%, list=10%, signal=35%	
MAMMARY GLAND DEVELOPMENT%GOBP%GO:0030879	MAMMARY GLAND DEVELOPMENT%GOBP%GO:0030879	Details ...	18	0.7245083	1.8884823	0.0	0.09372125	0.627	1510	tags=44%, list=11%, signal=50%	
DEGRADATION OF BETA CATENIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DEGRADATION OF BETA CATENIN	DEGRADATION OF BETA CATENIN%PATHWAY INTERACTION DATABASE NCI-NATURE CURATED DATA%DEGRADATION OF BETA CATENIN	Details ...	15	0.75374174	1.8850379	0.0020876827	0.088022865	0.643	703	tags=40%, list=5%, signal=42%	
NEURAL TUBE FORMATION%GOBP%GO:0001841	NEURAL TUBE FORMATION%GOBP%GO:0001841	Details ...	27	0.64247257	1.8835201	0.0	0.08214405	0.653	352	tags=19%, list=3%, signal=19%	
NEURAL TUBE CLOSURE%GOBP%GO:0001843	NEURAL TUBE CLOSURE%GOBP%GO:0001843	Details ...	25	0.64817595	1.8822193	0.0	0.07669262	0.66	352	tags=20%, list=3%, signal=20%	
PRIMARY NEURAL TUBE FORMATION%GOBP%GO:0014020	PRIMARY NEURAL TUBE FORMATION%GOBP%GO:0014020	Details ...	26	0.6425927	1.8784515	0.0022123894	0.07436942	0.674	352	tags=19%, list=3%, signal=20%	
UNTITLED%PANTHER PATHWAY%P00019	UNTITLED%PANTHER PATHWAY%P00019	Details ...	45	0.57776237	1.8747215	0.0	0.072149746	0.691	2301	tags=29%, list=17%, signal=35%	
VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	VIRAL MRNA TRANSLATION%REACTOME%R-HSA-192823.4	Details ...	86	0.5143272	1.8688809	0.0	0.072839	0.726	3338	tags=50%, list=24%, signal=66%	
EMBRYONIC EPITHELIAL TUBE FORMATION%GOBP%GO:0001838	EMBRYONIC EPITHELIAL TUBE FORMATION%GOBP%GO:0001838	Details ...	29	0.6324999	1.8644564	0.0	0.07255943	0.745	2438	tags=34%, list=18%, signal=42%	
MORPHOGENESIS OF EMBRYONIC EPITHELIUM%GOBP%GO:0016331	MORPHOGENESIS OF EMBRYONIC EPITHELIUM%GOBP%GO:0016331	Details ...	30	0.6216253	1.8593929	0.0	0.07275719	0.766	2438	tags=33%, list=18%, signal=40%	
CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	CHOLESTEROL METABOLISM (INCLUDES BOTH BLOCH AND KANDUTSCH-RUSSELL PATHWAYS)%WIKIPATHWAYS_20210210%WP4718%HOMO SAPIENS	Details ...	32	0.5997714	1.8577539	0.0021978023	0.07047665	0.78	2796	tags=41%, list=20%, signal=51%	
EPITHELIAL TUBE FORMATION%GOBP%GO:0072175	EPITHELIAL TUBE FORMATION%GOBP%GO:0072175	Details ...	32	0.6058822	1.8491654	0.0023364485	0.07498568	0.819	2439	tags=34%, list=18%, signal=42%	
DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%5609975	DISEASES ASSOCIATED WITH GLYCOSYLATION PRECURSOR BIOSYNTHESIS%REACTOME DATABASE ID RELEASE 75%5609975	Details ...	18	0.6988942	1.8429939	0.0022573364	0.07725994	0.846	1379	tags=44%, list=10%, signal=49%	
REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS%GOBP%GO:0005979	REGULATION OF GLYCOGEN BIOSYNTHETIC PROCESS%GOBP%GO:0005979		16	0.7067254	1.8377591	0.0020533882	0.07936584	0.861	1051	tags=38%, list=8%, signal=41%	
RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012	RESPONSE OF EIF2AK4 (GCN2) TO AMINO ACID DEFICIENCY%REACTOME DATABASE ID RELEASE 75%9633012		97	0.49331072	1.8355128	0.0	0.07791374	0.873	3338	tags=46%, list=24%, signal=61%	
DISASSEMBLY OF THE DESTRUCTION COMPLEX AND RECRUITMENT OF AXIN TO THE MEMBRANE%REACTOME%R-HSA-4641262.3	DISASSEMBLY OF THE DESTRUCTION COMPLEX AND RECRUITMENT OF AXIN TO THE MEMBRANE%REACTOME%R-HSA-4641262.3		23	0.64143956	1.8317716	0.004201681	0.07829989	0.887	236	tags=17%, list=2%, signal=18%	
WNT SIGNALING PATHWAY (NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO SAPIENS	WNT SIGNALING PATHWAY (NETPATH)%WIKIPATHWAYS_20210210%WP363%HOMO SAPIENS		37	0.57522386	1.8276664	0.0023148148	0.07924261	0.903	703	tags=19%, list=5%, signal=20%	
TUBE CLOSURE%GOBP%GO:0060606	TUBE CLOSURE%GOBP%GO:0060606		25	0.64817595	1.8276519	0.002173913	0.0760729	0.903	352	tags=20%, list=3%, signal=20%	
NEUROTRANSMITTER BIOSYNTHETIC PROCESS%GOBP%GO:0042136	NEUROTRANSMITTER BIOSYNTHETIC PROCESS%GOBP%GO:0042136		15	0.71013004	1.8033392	0.0	0.09814705	0.953	1824	tags=53%, list=13%, signal=61%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDB_C2%HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING%MSIGDB_C2%HALLMARK_WNT_BETA_CATENIN_SIGNALING		25	0.6160425	1.7990108	0.0	0.100462586	0.961	627	tags=24%, list=5%, signal=25%	
REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046324	REGULATION OF GLUCOSE IMPORT%GOBP%GO:0046324		24	0.6329781	1.794313	0.0041753654	0.10359984	0.969	979	tags=25%, list=7%, signal=27%	
REGULATION OF GLUCAN BIOSYNTHETIC PROCESS%GOBP%GO:0010962	REGULATION OF GLUCAN BIOSYNTHETIC PROCESS%GOBP%GO:0010962		16	0.7067254	1.7870119	0.0042283298	0.10940705	0.982	1051	tags=38%, list=8%, signal=41%	
TAT-MEDIATED HIV ELONGATION ARREST AND RECOVERY%REACTOME DATABASE ID RELEASE 75%167243	TAT-MEDIATED HIV ELONGATION ARREST AND RECOVERY%REACTOME DATABASE ID RELEASE 75%167243		30	0.5836672	1.7852539	0.0063965884	0.10837157	0.983	1384	tags=40%, list=10%, signal=44%	
REGULATION OF GLYCOGEN METABOLIC PROCESS%GOBP%GO:0070873	REGULATION OF GLYCOGEN METABOLIC PROCESS%GOBP%GO:0070873		19	0.66532004	1.7809535	0.0	0.110738724	0.984	1051	tags=32%, list=8%, signal=34%	
DEACTIVATION OF THE BETA-CATENIN TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 75%3769402	DEACTIVATION OF THE BETA-CATENIN TRANSACTIVATING COMPLEX%REACTOME DATABASE ID RELEASE 75%3769402		32	0.579639	1.7774941	0.0	0.1122063	0.989	1785	tags=41%, list=13%, signal=47%	
NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1	NONSENSE MEDIATED DECAY (NMD) INDEPENDENT OF THE EXON JUNCTION COMPLEX (EJC)%REACTOME%R-HSA-975956.1		92	0.4790347	1.7674618	0.002570694	0.12252193	0.995	3338	tags=48%, list=24%, signal=63%	
GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064	GLUTAMINE FAMILY AMINO ACID METABOLIC PROCESS%GOBP%GO:0009064		28	0.59932303	1.756517	0.0	0.13327834	0.996	1981	tags=32%, list=14%, signal=37%	
PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME DATABASE ID RELEASE 75%167238	PAUSING AND RECOVERY OF TAT-MEDIATED HIV ELONGATION%REACTOME DATABASE ID RELEASE 75%167238		30	0.5836672	1.7521911	0.004201681	0.13623449	0.999	1384	tags=40%, list=10%, signal=44%	
PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2	PAUSING AND RECOVERY OF HIV ELONGATION%REACTOME%R-HSA-167290.2		32	0.571894	1.7475649	0.004132231	0.13925824	0.999	1384	tags=38%, list=10%, signal=42%	
MICRORNA (MIRNA) BIOGENESIS%REACTOME DATABASE ID RELEASE 75%203927	MICRORNA (MIRNA) BIOGENESIS%REACTOME DATABASE ID RELEASE 75%203927		24	0.60836947	1.7428341	0.0021978023	0.14253235	0.999	2133	tags=42%, list=16%, signal=49%	
TBC RABGAPS%REACTOME%R-HSA-8854214.1	TBC RABGAPS%REACTOME%R-HSA-8854214.1		41	0.55149806	1.7407417	0.0021786492	0.14193885	1.0	1796	tags=27%, list=13%, signal=31%	
NEGATIVE REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905953	NEGATIVE REGULATION OF LIPID LOCALIZATION%GOBP%GO:1905953		29	0.5874899	1.7300181	0.0022075055	0.15449035	1.0	1321	tags=31%, list=10%, signal=34%	
