"gene_name" "rank"
"AL162151.2" "AL162151.2" 9.3589468212554
"RAB5C" "RAB5C" 9.06009560806581
"DVL2" "DVL2" 8.88189465519291
"CCAR1" "CCAR1" -8.26441555377465
"MBD4" "MBD4" -8.02199824984971
"CBX3" "CBX3" -7.80563560867348
"FAHD1" "FAHD1" 7.56547073922165
"KPNB1" "KPNB1" -7.32705394405747
"HSPA14" "HSPA14" -7.15059134713063
"RPL41P2" "RPL41P2" 7.04439443874273
"FKBP3" "FKBP3" -6.92495678610309
"RESF1" "RESF1" -6.92020007075369
"TAF1D" "TAF1D" -6.87059416411823
"DNAAF5" "DNAAF5" 6.83112079215858
"PPIAP22" "PPIAP22" 6.76807966171588
"LRRK1" "LRRK1" 6.55392051196467
"BIRC2" "BIRC2" -6.53518880238441
"EED" "EED" -6.4646385957004
"GFM1" "GFM1" -6.2507299263531
"ZNF638" "ZNF638" -6.08589289056623
"SDF4" "SDF4" 5.98952314974148
"TXNDC9" "TXNDC9" -5.9655160667461
"INTS6L" "INTS6L" -5.96002934243264
"C6orf62" "C6orf62" -5.93991948715742
"HSD17B11" "HSD17B11" -5.89146822927307
"ATP11C" "ATP11C" -5.82710381613656
"CRY2" "CRY2" 5.77747908128724
"MPHOSPH10" "MPHOSPH10" -5.76206760828429
"GNA11" "GNA11" 5.75571219237557
"SLC38A7" "SLC38A7" 5.69606905466163
"DSTNP2" "DSTNP2" -5.64283462928466
"TMEM184B" "TMEM184B" 5.59150779587981
"MICU2" "MICU2" -5.57778126540258
"C18orf21" "C18orf21" -5.52257353456817
"PSMC1P5" "PSMC1P5" -5.51180674849004
"CUL4B" "CUL4B" -5.49614394566158
"C7orf26" "C7orf26" 5.47151713938776
"DSN1" "DSN1" -5.43436596719189
"AC244197.3" "AC244197.3" 5.39882027711721
"PTGES3" "PTGES3" -5.36944388172581
"JPX" "JPX" -5.31430785938602
"TOP2B" "TOP2B" -5.25360284749747
"CXorf38" "CXorf38" -5.21150878071216
"ASF1A" "ASF1A" -5.19986719087625
"SIRT2" "SIRT2" 5.1904374766537
"STRN4" "STRN4" 5.15351330643386
"RETREG2" "RETREG2" 5.14463347115814
"CYRIB" "CYRIB" -5.13418039464728
"AC012321.1" "AC012321.1" -5.12258669548445
"SMPD4" "SMPD4" 5.10778491301027
"SERBP1" "SERBP1" -5.06497283495627
"MDM2" "MDM2" -5.06437636618661
"FAAP100" "FAAP100" 5.05733596657448
"ESCO1" "ESCO1" -5.04092075363499
"RBM34" "RBM34" -5.0077829579108
"UBE2Q2" "UBE2Q2" -4.99856001296216
"EMC2" "EMC2" -4.97482661950776
"PGAP6" "PGAP6" 4.97121644922376
"RAB1A" "RAB1A" -4.96490240265619
"TRMT10C" "TRMT10C" -4.95843472048749
"TRIM65" "TRIM65" 4.95327205808454
"LMNB2" "LMNB2" 4.93012599584225
"ARCN1" "ARCN1" -4.92967804742788
"HAGH" "HAGH" 4.89191366893289
"GNB1" "GNB1" 4.87329676220447
"BAZ1A" "BAZ1A" -4.85903050463427
"MED28" "MED28" 4.83787516008184
"PFDN6" "PFDN6" 4.82117328141928
"NEPRO" "NEPRO" -4.80205783226951
"OBI1" "OBI1" -4.76890737396786
"NPM3" "NPM3" 4.76152958023603
"MKNK2" "MKNK2" 4.74329948996125
"GNPDA1" "GNPDA1" 4.73447399159518
